t,S1,abs.m,f.j,x
0,L,1.359,0,0
0,L,1.317,0.030997990703615,0.5
0,L,1.342,0.012546805760987,0.25
0,L,1.283,0.05609160222559,0.125
24,L,-0.003,1,0.5
24,L,0.036,0.977781375782211,0.25
24,L,0.515,0.644430999269984,0.125
24,L,1.319,0.084903436188918,0.05
3,L,1.212,0.068623779296107,0.05
3,L,1.301,0,0
3,L,0.81,0.378587366678521,0.5
3,L,1.099,0.155752847391163,0.25
3,L,1.22,0.062455349696457,0.125
6,L,0.491,0.629411143418077,0.5
6,L,0.98,0.257244215810532,0.25
6,L,1.156,0.123294564974279,0.125
6,L,1.202,0.088284997142076,0.05
19,L,-0.002,1,0.5
19,L,0.084,0.937504986643773,0.25
19,L,0.688,0.465233917475434,0.125
19,L,1.079,0.159508771705863,0.05
